path,document_id,revision,status,size_bytes,char_count,line_count,yaml_error,section_id_count
/mnt/data/_audit_tmp3/docs/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,UDQ-ARCH-NAR-001,3,WIP,16938,16936,312,,49
/mnt/data/_audit_tmp3/docs/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,UDQ-ARCH-NAR-002,3,WIP,14338,14338,293,,44
/mnt/data/_audit_tmp3/docs/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,UDQ-AUD-CHK-001,2,WIP,4862,4862,112,,13
/mnt/data/_audit_tmp3/docs/UDQ-AUD-SPEC-001__Package_Audit_Specification__r3__WIP.md,UDQ-AUD-SPEC-001,3,WIP,3267,3267,57,,13
/mnt/data/_audit_tmp3/docs/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,UDQ-AUD-SPEC-002,2,WIP,4702,4698,75,,14
/mnt/data/_audit_tmp3/docs/UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,UDQ-AUD-TPL-001,0,WIP,4556,4556,177,,9
/mnt/data/_audit_tmp3/docs/UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,UDQ-AUD-TPL-002,0,WIP,1649,1649,55,,7
/mnt/data/_audit_tmp3/docs/UDQ-DEV-SPEC-001__Device_Adapter_and_Protocol_Abstraction_Specification__r0__WIP.md,UDQ-DEV-SPEC-001,0,WIP,6592,6592,160,,19
/mnt/data/_audit_tmp3/docs/UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,UDQ-DIAG-SPEC-001,0,WIP,7574,7574,223,,24
/mnt/data/_audit_tmp3/docs/UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,UDQ-EVT-SPEC-001,0,WIP,9340,9340,234,,32
/mnt/data/_audit_tmp3/docs/UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,UDQ-EXP-SPEC-001,0,WIP,5410,5406,143,,18
/mnt/data/_audit_tmp3/docs/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r3__WIP.md,UDQ-GAP-RPT-001,3,WIP,3841,3841,82,,15
/mnt/data/_audit_tmp3/docs/UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,UDQ-GAP-TPL-001,0,WIP,5107,5107,185,,9
/mnt/data/_audit_tmp3/docs/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r0__WIP.md,UDQ-GOV-GLO-001,0,WIP,3834,3834,76,,17
/mnt/data/_audit_tmp3/docs/UDQ-GOV-LOG-001__Controlled_Document_Index__r14__WIP.md,UDQ-GOV-LOG-001,14,WIP,3215,3215,80,,6
/mnt/data/_audit_tmp3/docs/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r0__WIP.md,UDQ-GOV-MAP-001,0,WIP,2845,2845,64,,12
/mnt/data/_audit_tmp3/docs/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r2__WIP.md,UDQ-GOV-RPT-001,2,WIP,4488,4488,98,,10
/mnt/data/_audit_tmp3/docs/UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,UDQ-GOV-SPEC-002,4,WIP,2346,2346,42,,8
/mnt/data/_audit_tmp3/docs/UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,UDQ-GOV-STD-001,3,WIP,19223,19185,618,,67
/mnt/data/_audit_tmp3/docs/UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,UDQ-HIS-SPEC-001,1,WIP,21711,21687,493,,88
/mnt/data/_audit_tmp3/docs/UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,UDQ-LOG-SPEC-001,1,WIP,25758,25748,600,,79
/mnt/data/_audit_tmp3/docs/UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,UDQ-OUT-SPEC-001,1,WIP,19779,19761,491,,76
/mnt/data/_audit_tmp3/docs/UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,UDQ-PROF-SPEC-001,0,WIP,7188,7182,176,,24
/mnt/data/_audit_tmp3/docs/UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,UDQ-PROOF-TPL-001,0,WIP,5165,5165,190,,9
/mnt/data/_audit_tmp3/docs/UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,UDQ-PROT-SPEC-001,1,WIP,25680,25672,724,,82
/mnt/data/_audit_tmp3/docs/UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,UDQ-QUAL-DEF-001,2,WIP,13807,13797,194,,31
/mnt/data/_audit_tmp3/docs/UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,UDQ-QUAL-SPEC-002,0,WIP,9736,9736,270,,23
/mnt/data/_audit_tmp3/docs/UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,UDQ-REL-SPEC-001,0,WIP,7021,7021,205,,17
/mnt/data/_audit_tmp3/docs/UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,UDQ-REL-TPL-001,1,WIP,4349,4349,137,,10
/mnt/data/_audit_tmp3/docs/UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,UDQ-REL-TPL-002,0,WIP,2974,2974,128,,6
/mnt/data/_audit_tmp3/docs/UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,UDQ-REM-SPEC-001,1,WIP,17829,17819,426,,36
/mnt/data/_audit_tmp3/docs/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r4__WIP.md,UDQ-REQ-MAT-001,4,WIP,13505,13505,112,,5
/mnt/data/_audit_tmp3/docs/UDQ-SCM-STD-001__Code_and_Package_Version_Control_Scheme__r0__WIP.md,UDQ-SCM-STD-001,0,WIP,9136,9136,260,,23
/mnt/data/_audit_tmp3/docs/UDQ-SEC-SPEC-001__Roles_Permissions_and_Command_Authorization_Specification__r0__WIP.md,UDQ-SEC-SPEC-001,0,WIP,5526,5526,142,,16
/mnt/data/_audit_tmp3/docs/UDQ-SEQ-SPEC-001__Sequences_and_Workflows_Specification__r1__WIP.md,UDQ-SEQ-SPEC-001,1,WIP,20021,20017,511,,54
/mnt/data/_audit_tmp3/docs/UDQ-SIG-SPEC-001__Signals_and_Derived_Signals_Specification__r1__WIP.md,UDQ-SIG-SPEC-001,1,WIP,25570,25570,654,,89
/mnt/data/_audit_tmp3/docs/UDQ-UI-ARCH-001__UI_Functional_Architecture__r1__WIP.md,UDQ-UI-ARCH-001,1,WIP,21501,21483,575,,73
/mnt/data/_audit_tmp3/docs/UDQ-UI-INV-001__Genesys_Feature_Inventory_and_Preservation_Map__r2__WIP.md,UDQ-UI-INV-001,2,WIP,10479,10471,295,,13
/mnt/data/_audit_tmp3/docs/UDQ-UI-MOD-001__UI_State_and_Interaction_Model__r1__WIP.md,UDQ-UI-MOD-001,1,WIP,25768,25754,422,,97
/mnt/data/_audit_tmp3/docs/UDQ-UI-NAR-001__UI_Controls_Philosophy_and_HMI_Doctrine__r1__WIP.md,UDQ-UI-NAR-001,1,WIP,24538,24538,636,,84
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-000__UI_Navigation_and_Shell_Behavior_Specification__r0__WIP.md,UDQ-UI-SPEC-000,0,WIP,2655,2653,60,,10
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-001__Workspace_Page_Specifications__r0__WIP.md,UDQ-UI-SPEC-001,0,WIP,3454,3454,86,,14
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-002__Widget_Status_and_Visual_Language_Specification__r0__WIP.md,UDQ-UI-SPEC-002,0,WIP,2093,2093,64,,9
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-003__Rules_Editor_Visual_and_DSL_Roundtrip_Specification__r0__WIP.md,UDQ-UI-SPEC-003,0,WIP,2102,2102,57,,9
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-004__Graphing_History_Review_and_Live_Trace_Specification__r0__WIP.md,UDQ-UI-SPEC-004,0,WIP,2263,2263,59,,10
/mnt/data/_audit_tmp3/docs/UDQ-UI-SPEC-005__Remote_UI_Surface_Specification__r0__WIP.md,UDQ-UI-SPEC-005,0,WIP,1937,1937,54,,9
