invariant_id,title,category,severity,governed_by,related_requirements,related_worked_examples,future_runtime_hook,expected_proof,failure_disposition
UDQ-INV-STATE-001,Requested applied and observed state shall remain distinct modeled concepts,STATE,CRITICAL,UDQ-GOV-GLO-001; UDQ-OUT-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-ARCH-001; UDQ-REQ-SIG-002,UDQ-EXM-001; UDQ-EXM-002,command_state_pipeline,state transition trace plus conformance assertion report,FAIL_RUNTIME_CONFORMANCE
UDQ-INV-STATE-002,Restored profile and workspace state shall not be treated as live machine state,STATE,CRITICAL,UDQ-GOV-GLO-001; UDQ-PROF-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-PROF-001; UDQ-REQ-PROF-002; UDQ-REQ-ARCH-002,UDQ-EXM-003,profile_restore_pipeline,"restore scenario trace, event log, no-write assertion",FAIL_RUNTIME_CONFORMANCE
UDQ-INV-STATE-003,Graph live historical review and live-trace modes shall remain explicitly distinguishable,STATE,HIGH,UDQ-UI-SPEC-004; UDQ-GOV-SPEC-005,UDQ-REQ-UI-003; UDQ-REQ-UI-004; UDQ-REQ-UI-006,UDQ-EXM-005,graph_mode_model,UI scenario trace plus screenshots,FLAG_AND_REJECT_CLAIM
UDQ-INV-TRANS-001,Authorization must precede command arbitration and apply publication,TRANSITION,CRITICAL,UDQ-SEC-SPEC-001; UDQ-OUT-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-ARCH-001; UDQ-REQ-SEC-001; UDQ-REQ-OUT-001,UDQ-EXM-001,authorization_gate,decision trace and rejected-command evidence,FAIL_RUNTIME_CONFORMANCE
UDQ-INV-TRANS-002,Restore workflows shall not reassert outputs as a side effect of UI or profile recovery,TRANSITION,CRITICAL,UDQ-PROF-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-PROF-001; UDQ-REQ-PROF-002,UDQ-EXM-003,restore_controller,restore-origin event bundle with explicit no-output-write assertion,FAIL_RUNTIME_CONFORMANCE
UDQ-INV-TRANS-003,Alarm acknowledge cannot precede alarm assert,TRANSITION,HIGH,UDQ-EVT-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-EVT-001; UDQ-REQ-EVT-002,UDQ-EXM-004,event_lifecycle_engine,alarm lifecycle trace,REJECT_EVENT_SEQUENCE
UDQ-INV-TRANS-004,Return-to-normal cannot exist without prior asserted state,TRANSITION,HIGH,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-EVT-001; UDQ-REQ-HIS-001; UDQ-REQ-HIS-002,UDQ-EXM-004,event_lifecycle_engine,historian event sequence export,REJECT_EVENT_SEQUENCE
UDQ-INV-TIME-001,Stale degraded and disconnected timing thresholds shall remain distinct and explicit,TIMING,HIGH,UDQ-DIAG-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-DIAG-001; UDQ-REQ-DIAG-002,,signal_health_monitor,threshold configuration plus timing trace,FLAG_FOR_REVIEW
UDQ-INV-TIME-002,Command timeout outcomes shall be explicit rather than silently abandoned,TIMING,HIGH,UDQ-OUT-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-OUT-002; UDQ-REQ-EVT-001,UDQ-EXM-002,command_timeout_monitor,timeout event trace and outcome classification,FLAG_AND_REJECT_CLAIM
UDQ-INV-EVID-001,Critical commands shall emit a durable event and historian evidence trail,EVIDENCE,CRITICAL,UDQ-HIS-SPEC-001; UDQ-QUAL-SPEC-002; UDQ-GOV-SPEC-005,UDQ-REQ-HIS-001; UDQ-REQ-HIS-002; UDQ-REQ-OUT-001,UDQ-EXM-001; UDQ-EXM-002,command_event_publisher,proof bundle with event export and trace hash,FAIL_EVIDENCE_COVERAGE
UDQ-INV-EVID-002,Rejected commands shall record a concrete reason and origin,EVIDENCE,HIGH,UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-OUT-001; UDQ-REQ-HIS-001,UDQ-EXM-001,command_rejection_logger,rejection reason event and audit export,FAIL_EVIDENCE_COVERAGE
UDQ-INV-EVID-003,Restore-originated actions shall be explicitly labeled as restore-originated,EVIDENCE,HIGH,UDQ-PROF-SPEC-001; UDQ-HIS-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-PROF-001; UDQ-REQ-PROF-002; UDQ-REQ-HIS-001,UDQ-EXM-003,restore_event_publisher,restore bundle with labeled origin chain,FLAG_AND_REJECT_CLAIM
UDQ-INV-EVID-004,Alarm lifecycle changes shall reach historian evidence without silent omission,EVIDENCE,HIGH,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-GOV-SPEC-005,UDQ-REQ-EVT-001; UDQ-REQ-EVT-002; UDQ-REQ-HIS-001; UDQ-REQ-HIS-002,UDQ-EXM-004,alarm_event_publisher,alarm historian export plus lifecycle trace,FAIL_EVIDENCE_COVERAGE
