requirement_id,title,subsystem,governed_by,semantic_tags,readiness_status,open_decision_ids,worked_example_ids,expected_invariant_ids,expected_proof_type,intended_module_area,prohibited_conflations,implementation_notes,entry_gate_status,linked_test_ids,snapshot_status,scaffold_status
UDQ-REQ-ARCH-001,"The backend shall remain the authoritative source of runtime truth, command arbitration, and applied state publication.",Architecture,UDQ-ARCH-NAR-002 | UDQ-OUT-SPEC-001 | UDQ-SEC-SPEC-001 | UDQ-REM-SPEC-001,first_slice | authority | state_publication,READY_FOR_IMPLEMENTATION,,UDQ-EXM-001 | UDQ-EXM-002,UDQ-INV-STATE-001 | UDQ-INV-TRANS-001 | UDQ-INV-EVID-001,"published state trace, command log, proof bundle",src/universaldaq/app + src/universaldaq/common,applied state != observed state | requested state != applied state,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-SMK-004 | UDQ-TST-CON-001 | UDQ-TST-SCN-001 | UDQ-TST-SCN-002,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-ARCH-002,The UI shall never silently imply authority that it does not possess.,Architecture,UDQ-UI-NAR-001 | UDQ-UI-MOD-001 | UDQ-UI-SPEC-002 | UDQ-UI-SPEC-005,first_slice | authority | ui_truth,READY_FOR_IMPLEMENTATION,,UDQ-EXM-003,UDQ-INV-STATE-002 | UDQ-INV-STATE-004,"screenshots, interaction trace",src/universaldaq/app + src/universaldaq/common,UI state != command authority | authorization != UI enablement | workspace/profile restore != machine state restore,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-002 | UDQ-TST-CON-005 | UDQ-TST-SCN-003,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-SIG-001,Every signal shall have stable identity independent of user-facing display name.,Signals,UDQ-SIG-SPEC-001 | UDQ-DEV-SPEC-001 | UDQ-PROF-SPEC-001,first_slice | signal_identity | signal_quality,READY_FOR_IMPLEMENTATION,,UDQ-EXM-003,UDQ-INV-STATE-005,"signal registry export, migration test",src/universaldaq/signals,,Stay within the bounded first code sprint defined by the package.,READY,,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-SIG-002,Derived signals shall be dependency-tracked and cycle-checked before activation.,Signals,UDQ-SIG-SPEC-001 | UDQ-LOG-SPEC-001 | UDQ-UI-SPEC-003,first_slice | derived_signal | dependency_graph,READY_FOR_IMPLEMENTATION,,UDQ-EXM-002,UDQ-INV-TRANS-005 | UDQ-INV-EVID-005,"validation report, dependency graph export",src/universaldaq/signals,,Stay within the bounded first code sprint defined by the package.,READY,,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-OUT-001,"Output actions shall be requests subject to arbitration, permissives, interlocks, and safe-state policy rather than direct uncontrolled writes.",Outputs,UDQ-OUT-SPEC-001 | UDQ-SEC-SPEC-001 | UDQ-REM-SPEC-001,first_slice | command | arbitration | apply_path,READY_FOR_IMPLEMENTATION,,UDQ-EXM-001,UDQ-INV-TRANS-001 | UDQ-INV-EVID-001,requested/applied/observed trace,src/universaldaq/outputs + src/universaldaq/common,applied state != observed state | requested state != applied state,"The first code sprint may model request/arbitration/apply state and rejection reason, but shall not perform physical output writes.",READY,UDQ-TST-CON-001 | UDQ-TST-SCN-001 | UDQ-TST-INV-001,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-OUT-002,"Requested, applied, and observed output states shall be distinguishable in runtime behavior and evidence surfaces.",Outputs,UDQ-OUT-SPEC-001 | UDQ-HIS-SPEC-001 | UDQ-EVT-SPEC-001,first_slice | command_state | mismatch | evidence,READY_FOR_IMPLEMENTATION,,UDQ-EXM-002,UDQ-INV-STATE-001 | UDQ-INV-TIME-002,"event markers, historian export",src/universaldaq/outputs + src/universaldaq/common,applied state != observed state | requested state != applied state,Observed mismatch handling is part of the first-slice structural model. Use explicit mismatch state and timing semantics.,READY,UDQ-TST-CON-001 | UDQ-TST-SCN-002 | UDQ-TST-INV-001,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-HIS-001,"Historian data and event evidence shall preserve context linking runtime values, commands, alarms, rules, sequences, and diagnostics.",Historian,UDQ-HIS-SPEC-001 | UDQ-EXP-SPEC-001 | UDQ-PROOF-TPL-001,first_slice | historian | evidence,READY_FOR_IMPLEMENTATION,,UDQ-EXM-004 | UDQ-EXM-005,UDQ-INV-EVID-001 | UDQ-INV-EVID-002 | UDQ-INV-EVID-003 | UDQ-INV-EVID-004,"evidence bundle, historian export",src/universaldaq/historian,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-003 | UDQ-TST-SCN-004 | UDQ-TST-INV-005,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-HIS-002,Live and historical review modes shall remain distinct and reversible without losing operator clarity.,Historian,UDQ-HIS-SPEC-001 | UDQ-UI-MOD-001 | UDQ-UI-SPEC-004,first_slice | review_mode | history_live_boundary,READY_FOR_IMPLEMENTATION,,UDQ-EXM-005,UDQ-INV-STATE-003 | UDQ-INV-TRANS-004 | UDQ-INV-EVID-004,"review screenshots, interaction capture",src/universaldaq/historian,review/history/live-trace != live runtime state,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-004 | UDQ-TST-SCN-005 | UDQ-TST-INV-005,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-EVT-001,"Alarm lifecycle shall distinguish event generation, alarm assertion, return-to-normal, latching, shelving, suppression, and acknowledgment.",Events,UDQ-EVT-SPEC-001 | UDQ-HIS-SPEC-001 | UDQ-UI-SPEC-004,first_slice | alarm_lifecycle | events,READY_FOR_IMPLEMENTATION,,UDQ-EXM-002 | UDQ-EXM-004,UDQ-INV-TRANS-003 | UDQ-INV-EVID-002,"alarm timeline export, screenshots",src/universaldaq/events,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-003 | UDQ-TST-SCN-002 | UDQ-TST-SCN-004 | UDQ-TST-INV-003,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-EVT-002,"Acknowledgment shall never erase historical alarm truth and shall remain attributable to actor, session, and time.",Events,UDQ-EVT-SPEC-001 | UDQ-HIS-SPEC-001,first_slice | alarm_lifecycle | acknowledgment,READY_FOR_IMPLEMENTATION,,UDQ-EXM-004,UDQ-INV-TRANS-003 | UDQ-INV-EVID-002,"event log, acknowledgment record",src/universaldaq/events,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-003 | UDQ-TST-SCN-004 | UDQ-TST-INV-003,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
