document_id,revision,title,status,document_class,filename,path,depends_on
UDQ-ARCH-NAR-001,r3,System Controls Narrative,WIP,,UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,docs/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,UDQ-GOV-STD-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-ARCH-NAR-002,r3,Platform Controls Narrative,WIP,,UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,docs/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,UDQ-ARCH-NAR-001; UDQ-GOV-STD-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-AUD-CHK-001,r2,Local VSCode Review Checklist,WIP,checklist,UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,docs/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002; UDQ-GOV-LOG-001; UDQ-QUAL-SPEC-002
UDQ-AUD-SPEC-001,r4,Package Audit Specification,WIP,audit_spec,UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,docs/UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-LOG-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-AUD-SPEC-002,r2,Placeholder and Anti-Pattern Scan Policy,WIP,scan_policy,UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,docs/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-AUD-SPEC-001; UDQ-REL-SPEC-001
UDQ-AUD-TPL-001,r0,Package Audit Report Template,WIP,,UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,docs/UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,UDQ-AUD-SPEC-001; UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-AUD-TPL-002,r0,Placeholder and Anti-Pattern Scan Report Template,WIP,report-template,UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,docs/UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,UDQ-AUD-SPEC-002; UDQ-GOV-SPEC-002
UDQ-DEV-SPEC-001,r0,Device Adapter and Protocol Abstraction Specification,WIP,,UDQ-DEV-SPEC-001__Device_Adapter_and_Protocol_Abstraction_Specification__r0__WIP.md,docs/UDQ-DEV-SPEC-001__Device_Adapter_and_Protocol_Abstraction_Specification__r0__WIP.md,UDQ-DIAG-SPEC-001; UDQ-GOV-STD-001; UDQ-OUT-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SIG-SPEC-001
UDQ-DIAG-SPEC-001,r0,"Diagnostics, Watchdog, and Health Model Specification",WIP,,UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,docs/UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-PROT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001
UDQ-EVT-SPEC-001,r0,"Alarms, Events, and Acknowledgment Specification",WIP,,UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,docs/UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001
