requirement_id,source_document,revision,status
UDQ-REQ-MAT-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-ARCH-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-ARCH-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SIG-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SIG-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-OUT-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-OUT-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-RULE-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-RULE-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-MOD-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-MOD-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SEQ-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SEQ-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-HIS-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-HIS-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-REM-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-REM-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-EVT-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-EVT-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-DIAG-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-DIAG-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-PROF-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-PROF-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-DEV-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-DEV-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-EXP-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-EXP-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SEC-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-SEC-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-003,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-004,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-005,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-006,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-UI-007,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-AUD-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-AUD-002,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-REL-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-QUAL-001,UDQ-REQ-MAT-001,r4,Open
UDQ-REQ-GOV-001,UDQ-REQ-MAT-001,r4,Open
