requirement_id,title,subsystem,governed_by,semantic_tags,readiness_status,open_decisions,prohibited_conflations,worked_example_ids,expected_invariant_ids,expected_proof_type,intended_module_area,notes_for_implementation
UDQ-REQ-ARCH-001,"The backend shall remain the authoritative source of runtime truth, command arbitration, and applied state publication.",Architecture,UDQ-ARCH-NAR-002; UDQ-OUT-SPEC-001; UDQ-SEC-SPEC-001; UDQ-REM-SPEC-001,first_slice; authority; state_publication,INVARIANT_DEFINED,,requested state != applied state; applied state != observed state,UDQ-EXM-001; UDQ-EXM-002,UDQ-INV-STATE-001; UDQ-INV-TRANS-001,"published state trace, command log, proof bundle",src/universaldaq/app + src/universaldaq/common,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-ARCH-002,The UI shall never silently imply authority that it does not possess.,Architecture,UDQ-UI-NAR-001; UDQ-UI-MOD-001; UDQ-UI-SPEC-002; UDQ-UI-SPEC-005,first_slice; authority; state_publication,INVARIANT_DEFINED,,workspace/profile restore != machine state restore; UI state != command authority,UDQ-EXM-003,UDQ-INV-STATE-002,"screenshots, interaction trace",src/universaldaq/app + src/universaldaq/common,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-SIG-001,Every signal shall have stable identity independent of user-facing display name.,Signals,UDQ-SIG-SPEC-001; UDQ-DEV-SPEC-001; UDQ-PROF-SPEC-001,first_slice; signal_identity; signal_quality,INVARIANT_DEFINED,,,,,"signal registry export, migration test",src/universaldaq/signals,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-SIG-002,Derived signals shall be dependency-tracked and cycle-checked before activation.,Signals,UDQ-SIG-SPEC-001; UDQ-LOG-SPEC-001; UDQ-UI-SPEC-003,first_slice; signal_identity; signal_quality,INVARIANT_DEFINED,,requested state != applied state; applied state != observed state,,UDQ-INV-STATE-001,"validation report, dependency graph export",src/universaldaq/signals,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-HIS-001,"Historian data and event evidence shall preserve context linking runtime values, commands, alarms, rules, sequences, and diagnostics.",Historian,UDQ-HIS-SPEC-001; UDQ-EXP-SPEC-001; UDQ-PROOF-TPL-001,first_slice; historian; evidence,INVARIANT_DEFINED,,,UDQ-EXM-004; UDQ-EXM-005,UDQ-INV-TRANS-004; UDQ-INV-EVID-001; UDQ-INV-EVID-002; UDQ-INV-EVID-003; UDQ-INV-EVID-004,"evidence bundle, historian export",src/universaldaq/historian,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-HIS-002,Live and historical review modes shall remain distinct and reversible without losing operator clarity.,Historian,UDQ-HIS-SPEC-001; UDQ-UI-MOD-001; UDQ-UI-SPEC-004,first_slice; historian; evidence,INVARIANT_DEFINED,,,UDQ-EXM-004,UDQ-INV-TRANS-004; UDQ-INV-EVID-001; UDQ-INV-EVID-004,"review screenshots, interaction capture",src/universaldaq/historian,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-PROF-001,"Profiles, autosave, and restore shall preserve user/session continuity without silently implying restored live machine state.",Profiles,UDQ-PROF-SPEC-001; UDQ-UI-MOD-001; UDQ-UI-SPEC-000; UDQ-UI-SPEC-001,first_slice; profile; restore; workspace_state,INVARIANT_DEFINED,,workspace/profile restore != machine state restore; UI state != command authority,UDQ-EXM-003,UDQ-INV-STATE-002; UDQ-INV-TRANS-002; UDQ-INV-EVID-003,"restore log, screenshots",src/universaldaq/profiles,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-PROF-002,"Layout persistence and profile restore shall preserve workspace arrangements, subject to current live capability and authorization checks.",Profiles,UDQ-PROF-SPEC-001; UDQ-UI-SPEC-000; UDQ-SEC-SPEC-001,first_slice; profile; restore; workspace_state,INVARIANT_DEFINED,,workspace/profile restore != machine state restore; UI state != command authority,UDQ-EXM-003,UDQ-INV-STATE-002; UDQ-INV-TRANS-002; UDQ-INV-EVID-003,"profile export, interaction trace",src/universaldaq/profiles,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-UI-003,"Graphing shall support live, review, and live-trace modes with explicit mode indicators and return-to-live behavior.",UI,UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001; UDQ-PROF-SPEC-001,first_slice; ui; operator_context,INVARIANT_DEFINED,,historical/review != live; live trace != general review mode,UDQ-EXM-005,UDQ-INV-STATE-003,"screenshots, interaction trace",src/universaldaq/ui,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-UI-004,"The graphing surface shall support event, alarm, command, rule, and sequence overlays where evidence relationships are relevant.",UI,UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001; UDQ-EVT-SPEC-001; UDQ-EXP-SPEC-001,first_slice; ui; operator_context,INVARIANT_DEFINED,,historical/review != live; live trace != general review mode,UDQ-EXM-005,UDQ-INV-STATE-003,"export capture, screenshots",src/universaldaq/ui,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-UI-006,"Widget language shall distinguish live, stale, invalid, disconnected, simulated, blocked, pending, acknowledged, manual, sequence, rule, and remote states in a consistent manner.",UI,UDQ-UI-SPEC-002; UDQ-EVT-SPEC-001; UDQ-DIAG-SPEC-001; UDQ-REM-SPEC-001,first_slice; ui; operator_context,INVARIANT_DEFINED,,historical/review != live; live trace != general review mode,UDQ-EXM-005,UDQ-INV-STATE-003,"screenshot set, style reference",src/universaldaq/ui,Infrastructure-first slice; do not broaden scope beyond the package-approved boundary.
UDQ-REQ-AUD-001,Every send-out package shall be auditable by the package-root audit tool and governed package audit specification.,Audit,UDQ-AUD-SPEC-001; UDQ-REL-SPEC-001; UDQ-AUD-TPL-001,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,"audit report, manifest",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-AUD-002,Draft-residue/anti-pattern scanning shall use rule-scoped allowed-pattern logic by document class and shall not permit structural-integrity waivers.,Audit,UDQ-AUD-SPEC-002; UDQ-GOV-SPEC-002; UDQ-AUD-TPL-002,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,scan report,tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-AUD-003,"The package-root master auditor shall perform structure, semantic, contradiction, and duplication audits for hardening packages.",Audit,UDQ-AUD-SPEC-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-IMP-PLAN-001,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,"audit report, governed registers",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-REL-001,"Every release package shall declare package ID, code baseline ID, document baseline ID, compatibility statement, included artifacts, and change summary.",Release,UDQ-SCM-STD-001; UDQ-REL-SPEC-001; UDQ-REL-TPL-001; UDQ-REL-TPL-002,governance; traceability; governance,CONTRACT_DEFINED,,,,,"manifest, release notes",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-GOV-001,"Controlled documents, requirement IDs, and cross-references shall remain machine-readable and internally consistent across the active corpus.",Governance,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-AUD-SPEC-001,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,"registry artifacts, audit report",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-GOV-002,"Every project-critical term shall have one canonical owner, declared alias policy, and governed anti-conflation treatment.",Governance,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,"term-usage matrix, audit report",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
UDQ-REQ-GOV-003,"Material contradictions and semantic ambiguities shall be registered, resolved, or explicitly elevated before downstream implementation relies on them.",Governance,UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-IMP-PLAN-001,governance; traceability; governance,CONTRACT_DEFINED,,narrative requirement != executable contract; claimed readiness != evidence-backed readiness,,,"contradiction register, consistency report",tools/traceability + registries/active + audit_reports/active,Package-governance artifact; keep implementation attached to active registries and generated reports.
