document_id,title,revision,status,document_class,path,active_state,owner,depends_on
,UDQ-GOV-POL-002__README_Control_and_Classification_Policy__r0__WIP,,,unspecified,docs/active/UDQ-GOV-POL-002__README_Control_and_Classification_Policy__r0__WIP.md,active,,
,UDQ-IMP-GUIDE-001__Python_Typing_and_Modeling_Policy__r0__WIP,,,unspecified,docs/active/UDQ-IMP-GUIDE-001__Python_Typing_and_Modeling_Policy__r0__WIP.md,active,,
,UDQ-SCHEMA-POLICY-001__Governance_Schema_Conventions__r0__WIP,,,unspecified,docs/active/UDQ-SCHEMA-POLICY-001__Governance_Schema_Conventions__r0__WIP.md,active,,
,UDQ-SEC-BASELINE-001__Security_and_Trust_Boundary_Baseline__r0__WIP,,,unspecified,docs/active/UDQ-SEC-BASELINE-001__Security_and_Trust_Boundary_Baseline__r0__WIP.md,active,,
,ADR-0001__ui_naming_and_package_structure,,,unspecified,docs/adr/ADR-0001__ui_naming_and_package_structure.md,active,,
,ADR-0002__typed_domain_model_first,,,unspecified,docs/adr/ADR-0002__typed_domain_model_first.md,active,,
,ADR-0003__reserved_packages_and_guardrails,,,unspecified,docs/adr/ADR-0003__reserved_packages_and_guardrails.md,active,,
,ADR-0004__local_and_ci_gate_policy,,,unspecified,docs/adr/ADR-0004__local_and_ci_gate_policy.md,active,,
,AUDIT_AND_GOVERNANCE,,,unspecified,docs/handbook/AUDIT_AND_GOVERNANCE.md,active,,
,IMPLEMENTATION_ENTRY,,,unspecified,docs/handbook/IMPLEMENTATION_ENTRY.md,active,,
,NEXT_ACTIONS,,,unspecified,docs/handbook/NEXT_ACTIONS.md,active,,
,START_HERE,,,unspecified,docs/handbook/START_HERE.md,active,,
,TESTS_AND_TOOLS,,,unspecified,docs/handbook/TESTS_AND_TOOLS.md,active,,
,EXEC_SUMMARY,,,unspecified,docs/release/EXEC_SUMMARY.md,active,,
,RELEASE_NOTES,,,unspecified,docs/release/RELEASE_NOTES.md,active,,
,SAVEPOINT_SUMMARY,,,unspecified,docs/release/SAVEPOINT_SUMMARY.md,active,,
,HUMAN_PASS_CHECKLIST,,,unspecified,docs/review/HUMAN_PASS_CHECKLIST.md,active,,
UDQ-ARCH-NAR-001,System Controls Narrative,r3,WIP,unspecified,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,active,,UDQ-GOV-STD-001 | UDQ-UI-ARCH-001 | UDQ-UI-MOD-001 | UDQ-UI-NAR-001
UDQ-ARCH-NAR-002,Platform Controls Narrative,r3,WIP,unspecified,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,active,,UDQ-ARCH-NAR-001 | UDQ-GOV-STD-001 | UDQ-UI-ARCH-001 | UDQ-UI-MOD-001 | UDQ-UI-NAR-001
UDQ-AUD-CHK-001,Local VSCode Review Checklist,r2,WIP,checklist,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,active,,UDQ-AUD-SPEC-001 | UDQ-AUD-SPEC-002 | UDQ-GOV-LOG-001 | UDQ-QUAL-SPEC-002
UDQ-AUD-SPEC-001,Package Audit Specification,r3,WIP,audit_spec,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r3__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-AUD-SPEC-002 | UDQ-REL-SPEC-001
UDQ-AUD-SPEC-001,Package Audit Specification,r4,WIP,audit_spec,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-SPEC-002 | UDQ-GOV-LOG-001 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002
UDQ-AUD-SPEC-001,Package Audit Specification,r5,WIP,audit_spec,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-REL-SPEC-001
UDQ-AUD-SPEC-001,Package Audit Specification,r6,WIP,audit_spec,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r6__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006 | UDQ-REQ-MAT-001
