sprint_id,package_slug,title,status,phase_group,objective,preconditions,primary_outputs,source_surfaces,doc_surfaces,test_gate,risk_level,major_risks,mitigations,unlocks,blocked_by,non_goals,acceptance_summary
UDQ-SPRINT-00,20260515_01_sprint-zero,Roadmap and governance stabilization,complete,foundation,Clean planning/governance baseline,N/A; completed in this package.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,low,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-01,,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-01,20260515_02_mapping,Sandbox mapping mutation proof,complete,foundation,"Sandbox-only mapping apply, diff, rollback, and diagnostics are implemented.",Sprint Zero completed; implemented in this package.,"Mapping sandbox state/apply/rollback/diff implementation, Testing menu, diagnostic bundle, manual checklist, focused tests.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-02,UDQ-SPRINT-00,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sandbox apply mutates only sandbox state, rollback restores original hash, diagnostics export, and focused tests pass."
UDQ-SPRINT-02,20260515_03_state,Authoritative runtime state model,complete,foundation,Single source of truth for runtime and UI projections,Sprint 1 sandbox mapping proof complete; current package validators pass.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-03,UDQ-SPRINT-01,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Authoritative runtime-state snapshot, compatibility aliases, contract/invariant coverage, and runtime-state diagnostic strict mode are implemented."
UDQ-SPRINT-03,20260515_04_session,Durable session/checkpoint/replay spine,complete,foundation,Crash-tolerant reconstruction and replay,Sprint 2 authoritative runtime-state model complete; CI stabilization gate passes.,"Session metadata/checkpoint model, deterministic serialization/hash, filesystem store, review restore, replay evidence export, Testing-menu hook, focused validation summary.",Runtime state snapshot model; session/checkpoint/replay helpers; diagnostics/dev harness; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Session/checkpoint/replay focused tests plus inherited package quality gate; shell smoke; simulated LabJack U6 smoke.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-04,UDQ-SPRINT-02,No live mapping apply; no hardware writes; no historian production; no runtime logic deployment; no remote command authority.,"No-hardware checkpoint store/load, review-only restore, deterministic replay evidence (CLI and Testing menu), corrupt payload rejection, and requested/applied/observed boundaries preserved."
UDQ-SPRINT-04,20260515_05_acquire,Live acquisition runtime,planned,runtime,Canonical live samples with health/quality states,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-05,UDQ-SPRINT-03,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-05,20260515_06_explorer,Device Explorer / Signal Explorer integration,planned,ui_runtime,Clear raw-point/signal/variable mapping UX,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-06,UDQ-SPRINT-04,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-06,20260515_07_live-map,Controlled live mapping apply boundary,planned,runtime,Reviewed runtime mapping updates,Sandbox mutation proof and authoritative runtime state model complete; live apply remains controller-mediated only.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,critical,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-07,UDQ-SPRINT-01 | UDQ-SPRINT-02,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-07,20260515_08_historian,Historian production layer,planned,runtime,"Indexed history, retention, replay, exports",Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-08,UDQ-SPRINT-06,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-08,20260515_09_graphing,Graphing and review workbench,planned,ui_analysis,Truthful live/historical plotting,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-09,UDQ-SPRINT-07,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-09,20260515_10_logic,Logic Designer draft/simulate/validate,planned,logic,Safe rule authoring before deployment,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-10,UDQ-SPRINT-08,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
