path,size_bytes,line_count
docs/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,16938,312
docs/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,14338,293
docs/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,4862,112
docs/UDQ-AUD-SPEC-001__Package_Audit_Specification__r3__WIP.md,3267,57
docs/UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,2186,68
docs/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,4702,75
docs/UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,4556,177
docs/UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,1649,55
docs/UDQ-DEV-SPEC-001__Device_Adapter_and_Protocol_Abstraction_Specification__r0__WIP.md,6592,160
docs/UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,7574,223
docs/UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,9340,234
docs/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r0__WIP.md,2413,58
docs/UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,5410,143
docs/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r3__WIP.md,3841,82
docs/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,1379,42
docs/UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,5107,185
docs/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r0__WIP.md,3834,76
docs/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,9598,166
docs/UDQ-GOV-LOG-001__Controlled_Document_Index__r14__WIP.md,3215,80
docs/UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,3726,86
docs/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r0__WIP.md,2845,64
docs/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,3017,61
docs/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,3198,34
docs/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,2287,32
docs/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r2__WIP.md,4488,98
docs/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,3736,81
docs/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,2391,62
docs/UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,2346,42
docs/UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,19223,618
docs/UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,4030,84
docs/UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,21711,493
docs/UDQ-IMP-MAP-001__Proposed_Code_Architecture_and_Module_Boundary_Map__r0__WIP.md,3303,91
docs/UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r0__WIP.md,2615,74
docs/UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,25758,600
docs/UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,19779,491
docs/UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,7188,176
docs/UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,5165,190
