invariant_id,title,category,severity,governed_by,related_requirements,related_worked_examples,future_runtime_hook,expected_proof,failure_disposition,ready_for_runtime_monitoring
UDQ-INV-STATE-001,"Requested, applied, and observed state shall remain distinct modeled concepts",STATE,CRITICAL,"[""UDQ-GOV-GLO-001"", ""UDQ-OUT-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-ARCH-001"", ""UDQ-REQ-OUT-001"", ""UDQ-REQ-OUT-002""]","[""UDQ-EXM-001"", ""UDQ-EXM-002""]",command_state_pipeline,state transition trace plus conformance assertion report,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-STATE-002,Restored profile and workspace state shall not be treated as live machine state,STATE,CRITICAL,"[""UDQ-GOV-GLO-001"", ""UDQ-PROF-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-PROF-001"", ""UDQ-REQ-PROF-002"", ""UDQ-REQ-ARCH-002""]","[""UDQ-EXM-003""]",profile_restore_pipeline,"restore scenario trace, event log, no-write assertion",FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-STATE-003,"Graph live, review, history, and live-trace modes shall remain explicitly distinguishable",STATE,HIGH,"[""UDQ-UI-SPEC-004"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-UI-001"", ""UDQ-REQ-UI-003"", ""UDQ-REQ-UI-004"", ""UDQ-REQ-UI-006"", ""UDQ-REQ-HIS-002""]","[""UDQ-EXM-005""]",graph_mode_model,UI scenario trace plus screenshots,FLAG_AND_REJECT_CLAIM,True
UDQ-INV-STATE-004,Authorization shall remain distinct from UI enablement or visibility,STATE,CRITICAL,"[""UDQ-SEC-SPEC-001"", ""UDQ-UI-SPEC-002"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-ARCH-002"", ""UDQ-REQ-SEC-001"", ""UDQ-REQ-SEC-002""]","[""UDQ-EXM-001""]",authorization_surface,authorization decision trace and UI-state contrast evidence,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-STATE-005,Signal identity shall remain stable across display-name edits and restore cycles,STATE,HIGH,"[""UDQ-SIG-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-SIG-001""]","[""UDQ-EXM-003""]",signal_registry_model,signal registry export and rename-safe restore trace,FLAG_AND_REJECT_CLAIM,True
UDQ-INV-TRANS-001,Command request must pass authorization and arbitration before apply is published,TRANSITION,CRITICAL,"[""UDQ-OUT-SPEC-001"", ""UDQ-SEC-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-ARCH-001"", ""UDQ-REQ-OUT-001"", ""UDQ-REQ-SEC-001""]","[""UDQ-EXM-001"", ""UDQ-EXM-002""]",command_request_path,command-path trace with pre-apply checkpoints,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-TRANS-002,Restore operations shall not directly publish physical command apply events,TRANSITION,CRITICAL,"[""UDQ-PROF-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-PROF-001"", ""UDQ-REQ-PROF-002""]","[""UDQ-EXM-003""]",restore_event_path,restore-origin event and no-apply assertion,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-TRANS-003,"Alarm lifecycle ordering shall preserve assert, acknowledge, and return-to-normal truth",TRANSITION,CRITICAL,"[""UDQ-EVT-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-EVT-001"", ""UDQ-REQ-EVT-002""]","[""UDQ-EXM-004""]",alarm_lifecycle_model,alarm lifecycle trace and historian event set,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-TRANS-004,Graph mode transitions shall remain explicit and reversible,TRANSITION,HIGH,"[""UDQ-UI-SPEC-004"", ""UDQ-HIS-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-HIS-002"", ""UDQ-REQ-UI-003""]","[""UDQ-EXM-005""]",graph_transition_model,mode transition trace and return-to-live trace,FLAG_AND_REJECT_CLAIM,True
UDQ-INV-TRANS-005,Derived-signal activation shall be dependency-tracked and cycle-checked before publish,TRANSITION,HIGH,"[""UDQ-SIG-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-SIG-002""]","[""UDQ-EXM-002""]",derived_signal_activation,dependency graph and validation trace,FLAG_AND_REJECT_CLAIM,True
UDQ-INV-TIME-001,"Stale, degraded, and disconnected timing semantics shall remain distinct",TIMING,HIGH,"[""UDQ-DIAG-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-UI-006""]","[""UDQ-EXM-005""]",health_timing_model,timing-threshold declaration and transition trace,FLAG_AND_REJECT_CLAIM,False
UDQ-INV-TIME-002,Observed confirmation and mismatch timing shall be modeled explicitly,TIMING,HIGH,"[""UDQ-OUT-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-OUT-002"", ""UDQ-REQ-EVT-001""]","[""UDQ-EXM-002""]",observed_confirmation_model,timeout/mismatch timing declaration and event trace,FLAG_AND_REJECT_CLAIM,False
UDQ-INV-EVID-001,Critical commands shall emit attributable event evidence,EVIDENCE,CRITICAL,"[""UDQ-HIS-SPEC-001"", ""UDQ-SEC-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-ARCH-001"", ""UDQ-REQ-OUT-001"", ""UDQ-REQ-SEC-002"", ""UDQ-REQ-HIS-001""]","[""UDQ-EXM-001"", ""UDQ-EXM-002""]",command_event_evidence,event log plus command trace,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-EVID-002,Alarm lifecycle transitions shall emit complete historian/event evidence,EVIDENCE,CRITICAL,"[""UDQ-EVT-SPEC-001"", ""UDQ-HIS-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-EVT-001"", ""UDQ-REQ-EVT-002"", ""UDQ-REQ-HIS-001""]","[""UDQ-EXM-004""]",alarm_evidence_pipeline,historian export and lifecycle event sequence,FAIL_RUNTIME_CONFORMANCE,True
UDQ-INV-EVID-003,Restore-origin operations shall be labeled as restore-originated,EVIDENCE,HIGH,"[""UDQ-PROF-SPEC-001"", ""UDQ-HIS-SPEC-001"", ""UDQ-GOV-SPEC-005""]","[""UDQ-REQ-PROF-001"", ""UDQ-REQ-HIS-001""]","[""UDQ-EXM-003""]",restore_evidence_pipeline,restore-origin event and audit trace,FLAG_AND_REJECT_CLAIM,True
