term,canonical_owner,allowed_aliases,forbidden_aliases,confusable_with,operational_docs,review_status
requested state,UDQ-GOV-GLO-001,request value,actual state; confirmed state,applied state; observed state,UDQ-OUT-SPEC-001; UDQ-UI-SPEC-004; UDQ-REM-SPEC-001,closed
applied state,UDQ-GOV-GLO-001,committed state,observed state,requested state; observed state,UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001,closed
observed state,UDQ-GOV-GLO-001,readback state,applied state,requested state; applied state,UDQ-OUT-SPEC-001; UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001,closed
ownership,UDQ-GOV-GLO-001,runtime owner,screen owner,authorization; request origin,UDQ-OUT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-REM-SPEC-001,closed
authorization,UDQ-SEC-SPEC-001,backend authorization,enabled button,ownership; visibility,UDQ-SEC-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001,closed
profile,UDQ-GOV-GLO-001,named profile,live runtime state,autosave snapshot; workspace state,UDQ-PROF-SPEC-001; UDQ-UI-MOD-001,closed
autosave,UDQ-GOV-GLO-001,autosave snapshot,hidden apply,profile; restore,UDQ-PROF-SPEC-001,closed
restore,UDQ-GOV-GLO-001,session restore,reapply machine state,live revalidation; profile load,UDQ-PROF-SPEC-001; UDQ-UI-MOD-001,closed
workspace state,UDQ-GOV-GLO-001,workspace posture,machine state,session persistence state; machine state,UDQ-UI-MOD-001; UDQ-PROF-SPEC-001,closed
machine state,UDQ-GOV-GLO-001,runtime machine truth,restored state,workspace state; profile,UDQ-OUT-SPEC-001; UDQ-UI-MOD-001,closed
live,UDQ-GOV-GLO-001,current runtime,most recent cached,historical; restored,UDQ-UI-MOD-001; UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001,closed
historical,UDQ-GOV-GLO-001,recorded evidence,current live,review mode; live trace,UDQ-HIS-SPEC-001; UDQ-UI-SPEC-004,closed
review mode,UDQ-GOV-GLO-001,review posture,live mode,historical; live trace,UDQ-UI-MOD-001; UDQ-UI-SPEC-004,closed
live trace,UDQ-GOV-GLO-001,live explainability,historical review,review mode; historical overlay,UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001; UDQ-LOG-SPEC-001,closed
event,UDQ-GOV-GLO-001,historical occurrence,alarm state,alarm,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
alarm,UDQ-GOV-GLO-001,abnormal condition,mere message,event; acknowledgment,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
acknowledgment,UDQ-GOV-GLO-001,ack,clear history,return-to-normal; suppression,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
remote,UDQ-GOV-GLO-001,remote client,local-equivalent by default,manual; supervision,UDQ-REM-SPEC-001; UDQ-SEC-SPEC-001,closed
