document_id,revision,title,status,document_class,filename,path,location_class,is_active_revision,depends_on
UDQ-ARCH-NAR-001,r3,System Controls Narrative,WIP,,UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-ARCH-NAR-002,r3,Platform Controls Narrative,WIP,,UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md,active,True,UDQ-ARCH-NAR-001; UDQ-GOV-STD-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-AUD-CHK-001,r2,Local VSCode Review Checklist,WIP,checklist,UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md,active,True,UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002; UDQ-GOV-LOG-001; UDQ-QUAL-SPEC-002
UDQ-AUD-SPEC-001,r5,Package Audit Specification,WIP,audit_spec,UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-STD-003; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-REL-SPEC-001
UDQ-AUD-SPEC-001,r3,Package Audit Specification,WIP,audit_spec,UDQ-AUD-SPEC-001__Package_Audit_Specification__r3__WIP.md,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r3__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-AUD-SPEC-002; UDQ-REL-SPEC-001
UDQ-AUD-SPEC-001,r4,Package Audit Specification,WIP,audit_spec,UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,docs/archive/UDQ-AUD-SPEC-001__Package_Audit_Specification__r4__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-LOG-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-AUD-SPEC-002,r2,Placeholder and Anti-Pattern Scan Policy,WIP,scan_policy,UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,docs/active/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-AUD-SPEC-001; UDQ-REL-SPEC-001
UDQ-AUD-TPL-001,r0,Package Audit Report Template,WIP,,UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,docs/active/UDQ-AUD-TPL-001__Package_Audit_Report_Template__r0__WIP.md,active,True,UDQ-AUD-SPEC-001; UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-AUD-TPL-002,r0,Placeholder and Anti-Pattern Scan Report Template,WIP,report-template,UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,docs/active/UDQ-AUD-TPL-002__Placeholder_and_Anti_Pattern_Scan_Report_Template__r0__WIP.md,active,True,UDQ-AUD-SPEC-002; UDQ-GOV-SPEC-002
UDQ-DEV-SPEC-001,r0,Device Adapter and Protocol Abstraction Specification,WIP,,UDQ-DEV-SPEC-001__Device_Adapter_and_Protocol_Abstraction_Specification__r0__WIP.md,docs/active/UDQ_DEV_SPEC_001_adapter.md,active,True,UDQ-DIAG-SPEC-001; UDQ-GOV-STD-001; UDQ-OUT-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SIG-SPEC-001
UDQ-DIAG-SPEC-001,r0,"Diagnostics, Watchdog, and Health Model Specification",WIP,,UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,docs/active/UDQ-DIAG-SPEC-001__Diagnostics_Watchdog_and_Health_Model_Specification__r0__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-PROT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001
UDQ-EVT-SPEC-001,r1,"Alarms, Events, and Acknowledgment Specification",WIP,subsystem_spec,UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r1__WIP.md,docs/active/UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r1__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001; UDQ-GOV-GLO-001; UDQ-GOV-STD-002
UDQ-EVT-SPEC-001,r0,"Alarms, Events, and Acknowledgment Specification",WIP,,UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,docs/archive/UDQ-EVT-SPEC-001__Alarms_Events_and_Acknowledgment_Specification__r0__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001
UDQ-EXM-SPEC-001,r1,Canonical Worked Examples,WIP,example_spec,UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r1__WIP.md,docs/active/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r1__WIP.md,active,True,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-OUT-SPEC-001; UDQ-PROF-SPEC-001; UDQ-UI-SPEC-004; UDQ-EVT-SPEC-001
UDQ-EXM-SPEC-001,r0,Canonical Worked Examples,WIP,example_spec,UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r0__WIP.md,docs/archive/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r0__WIP.md,archive,False,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-OUT-SPEC-001; UDQ-PROF-SPEC-001; UDQ-UI-SPEC-004
UDQ-EXP-SPEC-001,r0,"Export, Review, and Evidence Bundle Specification",WIP,,UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,docs/active/UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,active,True,UDQ-AUD-SPEC-001; UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-REL-SPEC-001; UDQ-SCM-STD-001
UDQ-GAP-RPT-001,r5,Open Implementation Gaps,WIP,gap_report,UDQ-GAP-RPT-001__Open_Implementation_Gaps__r5__WIP.md,docs/active/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r5__WIP.md,active,True,UDQ-IMP-PLAN-001; UDQ-GOV-RPT-002; UDQ-REQ-MAT-001
UDQ-GAP-RPT-001,r3,Open Implementation Gaps,WIP,gap_report,UDQ-GAP-RPT-001__Open_Implementation_Gaps__r3__WIP.md,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r3__WIP.md,archive,False,UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-QUAL-SPEC-002; UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002; UDQ-SCM-STD-001
UDQ-GAP-RPT-001,r4,Open Implementation Gaps,WIP,gap_report,UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,archive,False,UDQ-GOV-RPT-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-IMP-PLAN-001
UDQ-GAP-TPL-001,r0,Implementation Gap Assessment Template,WIP,,UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,docs/active/UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,active,True,UDQ-GAP-RPT-001; UDQ-QUAL-SPEC-002; UDQ-GOV-SPEC-002
UDQ-GOV-GLO-001,r1,Canonical Glossary and Ontology,WIP,glossary,UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,docs/active/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002
UDQ-GOV-GLO-001,r0,Canonical Glossary and Ontology,WIP,glossary,UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r0__WIP.md,docs/archive/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r0__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002
UDQ-GOV-LOG-001,r16,Controlled Document Index,WIP,controlled_index,UDQ-GOV-LOG-001__Controlled_Document_Index__r16__WIP.md,docs/active/UDQ-GOV-LOG-001__Controlled_Document_Index__r16__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-GOV-STD-002; UDQ-GOV-STD-003
UDQ-GOV-LOG-001,r14,Controlled Document Index,WIP,controlled_index,UDQ-GOV-LOG-001__Controlled_Document_Index__r14__WIP.md,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r14__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002
UDQ-GOV-LOG-001,r15,Controlled Document Index,WIP,controlled_index,UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-GOV-STD-002
UDQ-GOV-MAP-001,r2,Document Architecture and Dependency Map,WIP,governance_map,UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r2__WIP.md,docs/active/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r2__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-STD-003; UDQ-IMP-MAP-001
UDQ-GOV-MAP-001,r0,Document Architecture and Dependency Map,WIP,governance-map,UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r0__WIP.md,docs/archive/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r0__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-GOV-GLO-001
UDQ-GOV-MAP-001,r1,Document Architecture and Dependency Map,WIP,governance-map,UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,docs/archive/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-GLO-001
UDQ-GOV-REG-001,r1,Contradiction and Reconciliation Register,WIP,governance_register,UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r1__WIP.md,docs/active/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r1__WIP.md,active,True,UDQ-GOV-STD-002; UDQ-GOV-STD-003; UDQ-GOV-GLO-001; UDQ-GOV-RPT-001
UDQ-GOV-REG-001,r0,Contradiction and Reconciliation Register,WIP,governance_register,UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,docs/archive/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,archive,False,UDQ-GOV-STD-002; UDQ-GOV-GLO-001; UDQ-GOV-RPT-001
UDQ-GOV-REG-002,r1,Duplication and Consolidation Register,WIP,governance_register,UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r1__WIP.md,docs/active/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r1__WIP.md,active,True,UDQ-GOV-STD-002; UDQ-GOV-STD-003; UDQ-GOV-RPT-001; UDQ-GOV-RPT-002
UDQ-GOV-REG-002,r0,Duplication and Consolidation Register,WIP,governance_register,UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,docs/archive/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,archive,False,UDQ-GOV-STD-002; UDQ-GOV-RPT-001
UDQ-GOV-RPT-001,r4,Cross Document Consistency Assessment,WIP,governance_report,UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r4__WIP.md,docs/active/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r4__WIP.md,active,True,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-GOV-RPT-002
UDQ-GOV-RPT-001,r2,Cross-Document Consistency Assessment,WIP,,UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r2__WIP.md,docs/archive/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r2__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-GOV-MAP-001; UDQ-GOV-GLO-001; UDQ-GOV-LOG-001
UDQ-GOV-RPT-001,r3,Cross-Document Consistency Assessment,WIP,governance_report,UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,docs/archive/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-GLO-001; UDQ-GOV-LOG-001; UDQ-GOV-MAP-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-GOV-RPT-002,r0,Subsystem Reconciliation and Duplication Closure Assessment,WIP,governance_report,UDQ-GOV-RPT-002__Subsystem_Reconciliation_and_Duplication_Closure_Assessment__r0__WIP.md,docs/active/UDQ-GOV-RPT-002__Subsystem_Reconciliation_and_Duplication_Closure_Assessment__r0__WIP.md,active,True,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-REQ-MAT-001
