requirement_id,subsystem,semantic_closure_status,contradiction_status,duplication_status,execution_contract_status,invariant_status,worked_example_status,decision_status,implementation_entry_status,intended_module_area,first_code_slice,proof_expectation
UDQ-REQ-ARCH-001,ARCH,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/common,first-bounded-code-sprint,"published state trace, command log, proof bundle"
UDQ-REQ-ARCH-002,ARCH,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/common,first-bounded-code-sprint,"screenshots, interaction trace"
UDQ-REQ-SIG-001,SIG,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/signals,first-bounded-code-sprint,"signal registry export, migration test"
UDQ-REQ-SIG-002,SIG,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/signals,first-bounded-code-sprint,"validation report, dependency graph export"
UDQ-REQ-OUT-001,OUT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/outputs + src/universaldaq/common,first-bounded-code-sprint,requested/applied/observed trace
UDQ-REQ-OUT-002,OUT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/outputs + src/universaldaq/common,first-bounded-code-sprint,"event markers, historian export"
UDQ-REQ-RULE-001,RULE,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/rules,later-slice,proof bundle with before/after representations
UDQ-REQ-RULE-002,RULE,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/rules,later-slice,"live trace screenshots, diagnostics export"
UDQ-REQ-MOD-001,MOD,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"device config export, comms diagnostics"
UDQ-REQ-MOD-002,MOD,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"command log, permission trace"
UDQ-REQ-SEQ-001,SEQ,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/sequences,later-slice,"sequence event history, export bundle"
UDQ-REQ-SEQ-002,SEQ,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/sequences,later-slice,"event log, state-transition timeline"
UDQ-REQ-HIS-001,HIS,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/historian,first-bounded-code-sprint,"evidence bundle, historian export"
UDQ-REQ-HIS-002,HIS,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/historian,first-bounded-code-sprint,"review screenshots, interaction capture"
UDQ-REQ-REM-001,REM,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,BLOCKING,BLOCKED_BY_DECISION,src/universaldaq/remote,blocked-post-baseline,remote session audit trail
UDQ-REQ-REM-002,REM,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,BLOCKING,BLOCKED_BY_DECISION,src/universaldaq/remote,blocked-post-baseline,"command/event log, UI indicators"
UDQ-REQ-EVT-001,EVT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/events,first-bounded-code-sprint,"alarm timeline export, screenshots"
UDQ-REQ-EVT-002,EVT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/events,first-bounded-code-sprint,"event log, acknowledgment record"
UDQ-REQ-DIAG-001,DIAG,CLOSED,CLOSED,CLASSIFIED,PLANNED,DEFINED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/diagnostics,later-slice,"diagnostics export, UI status states"
UDQ-REQ-DIAG-002,DIAG,CLOSED,CLOSED,CLASSIFIED,PLANNED,DEFINED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/diagnostics,later-slice,"watchdog event stream, diagnostics report"
UDQ-REQ-PROF-001,PROF,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/profiles,first-bounded-code-sprint,"restore log, screenshots"
