term,canonical_owner,allowed_aliases,forbidden_aliases,confusable_with,operational_docs,review_status
requested state,UDQ-GOV-GLO-001,request value,actual state; confirmed state,applied state; observed state,UDQ-OUT-SPEC-001; UDQ-UI-SPEC-004; UDQ-REM-SPEC-001,closed
applied state,UDQ-GOV-GLO-001,committed state,observed state,requested state; observed state,UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001,closed
observed state,UDQ-GOV-GLO-001,readback state,applied state,requested state; applied state,UDQ-OUT-SPEC-001; UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001,closed
ownership,UDQ-GOV-GLO-001,runtime owner,screen owner,authorization; request origin,UDQ-OUT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-REM-SPEC-001,closed
authorization,UDQ-SEC-SPEC-001,backend authorization,enabled button,ownership; visibility,UDQ-SEC-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001,closed
profile,UDQ-GOV-GLO-001,named profile,live runtime state,autosave snapshot; workspace state,UDQ-PROF-SPEC-001; UDQ-UI-MOD-001,closed
autosave,UDQ-GOV-GLO-001,autosave snapshot,hidden apply,profile; restore,UDQ-PROF-SPEC-001,closed
restore,UDQ-GOV-GLO-001,session restore,reapply machine state,live revalidation; profile load,UDQ-PROF-SPEC-001; UDQ-UI-MOD-001,closed
workspace state,UDQ-GOV-GLO-001,workspace posture,machine state,session persistence state; machine state,UDQ-UI-MOD-001; UDQ-PROF-SPEC-001,closed
machine state,UDQ-GOV-GLO-001,runtime machine truth,restored state,workspace state; profile,UDQ-OUT-SPEC-001; UDQ-UI-MOD-001,closed
live,UDQ-GOV-GLO-001,current runtime,most recent cached,historical; restored,UDQ-UI-MOD-001; UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001,closed
historical,UDQ-GOV-GLO-001,recorded evidence,current live,review mode; live trace,UDQ-HIS-SPEC-001; UDQ-UI-SPEC-004,closed
review mode,UDQ-GOV-GLO-001,review posture,live mode,historical; live trace,UDQ-UI-MOD-001; UDQ-UI-SPEC-004,closed
live trace,UDQ-GOV-GLO-001,live explainability,historical review,review mode; historical overlay,UDQ-UI-SPEC-004; UDQ-HIS-SPEC-001; UDQ-LOG-SPEC-001,closed
event,UDQ-GOV-GLO-001,historical occurrence,alarm state,alarm,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
alarm,UDQ-GOV-GLO-001,abnormal condition,mere message,event; acknowledgment,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
acknowledgment,UDQ-GOV-GLO-001,ack,clear history,return-to-normal; suppression,UDQ-EVT-SPEC-001; UDQ-HIS-SPEC-001,closed
remote,UDQ-GOV-GLO-001,remote client,local-equivalent by default,manual; supervision,UDQ-REM-SPEC-001; UDQ-SEC-SPEC-001,closed
governance model,UDQ-GOV-SPEC-003,control tower model,assistant memory; hidden master plan,execution contract; executive summary,UDQ-GOV-SPEC-003; docs/handbook/AUDIT_AND_GOVERNANCE.md,closed
execution contract,UDQ-GOV-SPEC-003,implementation contract,code spec; prose-only requirement dump,governance model; requirement matrix,UDQ-GOV-SPEC-004; UDQ-IMP-PLAN-001; docs/handbook/AUDIT_AND_GOVERNANCE.md,closed
invariant,UDQ-GOV-SPEC-005,runtime conformance rule,nice-to-have check; optional log,test case; requirement,UDQ-GOV-SPEC-005; UDQ-QUAL-SPEC-002,closed
coverage matrix,UDQ-GOV-SPEC-003,implementation coverage matrix,completion claim,requirement registry; execution contract,UDQ-GOV-SPEC-003; UDQ-GOV-SPEC-006; docs/release/EXEC_SUMMARY.md,closed
decision log,UDQ-GOV-SPEC-003,decision register,informal notes,contradiction register; release notes,UDQ-GOV-SPEC-003; docs/handbook/NEXT_ACTIONS.md,closed
executive summary,UDQ-GOV-SPEC-006,project status summary,marketing summary,release notes; human pass checklist,UDQ-GOV-SPEC-006; docs/release/EXEC_SUMMARY.md,closed
implementation entry,UDQ-GOV-SPEC-003,implementation-entry readiness,full implementation,semantic closure; execution contract,UDQ-GOV-SPEC-003; UDQ-REQ-MAT-001,closed
first code sprint,UDQ-GOV-SPEC-003,bounded implementation slice,general implementation,implementation entry; package disposition,UDQ-GOV-SPEC-003; UDQ-IMP-PLAN-001,closed
runtime monitor,UDQ-GOV-SPEC-005,invariant monitor,log line,invariant; proof bundle,UDQ-GOV-SPEC-005; UDQ-GOV-SPEC-004,closed
proof bundle,UDQ-QUAL-SPEC-002,evidence bundle,narrative claim,historian export; audit report,UDQ-QUAL-SPEC-002; UDQ-PROOF-TPL-001,closed
entry gate,UDQ-AUD-SPEC-001,implementation gate,informal checkpoint,implementation entry; package disposition,UDQ-AUD-SPEC-001; UDQ-REQ-MAT-001,closed
