decision_id,title,status,decision_class,affects_requirements,summary,resolution_vehicle,affected_requirement_ids
UDQ-DEC-001,Execution contract exists before implementation code,CLOSED,governance_rule,UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001,No feature implementation may be declared implementation-entry ready without an execution-contract entry derived from the active governed corpus.,UDQ-GOV-SPEC-003 r1; UDQ-GOV-SPEC-004 r1; universalDAQ_execution_contract_r1.json,UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001
UDQ-DEC-002,The first code sprint remains intentionally bounded,CLOSED,scope_gate,UDQ-REQ-ARCH-001; UDQ-REQ-ARCH-002; UDQ-REQ-AUD-001; UDQ-REQ-AUD-002; UDQ-REQ-AUD-003; UDQ-REQ-EVT-001; UDQ-REQ-EVT-002; UDQ-REQ-GOV-001; UDQ-REQ-GOV-002; UDQ-REQ-GOV-003; UDQ-REQ-GOV-004; UDQ-REQ-HIS-001; UDQ-REQ-HIS-002; UDQ-REQ-IMPL-001; UDQ-REQ-OUT-001; UDQ-REQ-OUT-002; UDQ-REQ-PROF-001; UDQ-REQ-PROF-002; UDQ-REQ-REL-001; UDQ-REQ-SIG-001; UDQ-REQ-SIG-002; UDQ-REQ-UI-001; UDQ-REQ-UI-003; UDQ-REQ-UI-004; UDQ-REQ-UI-006,The first code sprint is constrained to the structural and conformance-aware behavioral spine documented in docs/handbook/IMPLEMENTATION_ENTRY.md.,docs/handbook/IMPLEMENTATION_ENTRY.md; UDQ-IMP-PLAN-001 r3,UDQ-REQ-ARCH-001; UDQ-REQ-ARCH-002; UDQ-REQ-AUD-001; UDQ-REQ-AUD-002; UDQ-REQ-AUD-003; UDQ-REQ-EVT-001; UDQ-REQ-EVT-002; UDQ-REQ-GOV-001; UDQ-REQ-GOV-002; UDQ-REQ-GOV-003; UDQ-REQ-GOV-004; UDQ-REQ-HIS-001; UDQ-REQ-HIS-002; UDQ-REQ-IMPL-001; UDQ-REQ-OUT-001; UDQ-REQ-OUT-002; UDQ-REQ-PROF-001; UDQ-REQ-PROF-002; UDQ-REQ-REL-001; UDQ-REQ-SIG-001; UDQ-REQ-SIG-002; UDQ-REQ-UI-001; UDQ-REQ-UI-003; UDQ-REQ-UI-004; UDQ-REQ-UI-006
UDQ-DEC-003,"Outputs command-state semantics are allowed, but physical actuation is not",CLOSED,scope_refinement,UDQ-REQ-OUT-001; UDQ-REQ-OUT-002,"The first code sprint may implement command-state structure, mismatch, and evidence scaffolding, but not physical output writes.",docs/handbook/IMPLEMENTATION_ENTRY.md; universalDAQ_execution_contract_r1.json,UDQ-REQ-OUT-001; UDQ-REQ-OUT-002
UDQ-DEC-004,Remote command actuation remains blocked,BLOCKING,safety_boundary,UDQ-REQ-REM-001; UDQ-REQ-REM-002,Remote command parity remains outside the first code sprint until local proof/evidence and authorization scaffolding exist in running code.,docs/handbook/IMPLEMENTATION_ENTRY.md; docs/handbook/NEXT_ACTIONS.md,UDQ-REQ-REM-001; UDQ-REQ-REM-002
UDQ-DEC-005,Rules and sequences remain deferred beyond the first sprint,DEFERRED,phasing,UDQ-REQ-RULE-001; UDQ-REQ-RULE-002; UDQ-REQ-SEQ-001; UDQ-REQ-SEQ-002,These areas remain semantically closed but are intentionally postponed until after the first code sprint establishes the baseline behavioral spine.,docs/handbook/IMPLEMENTATION_ENTRY.md; docs/handbook/NEXT_ACTIONS.md,UDQ-REQ-RULE-001; UDQ-REQ-RULE-002; UDQ-REQ-SEQ-001; UDQ-REQ-SEQ-002
UDQ-DEC-006,Human-facing control-tower docs remain required,CLOSED,human_interface,UDQ-REQ-GOV-004; UDQ-REQ-REL-001,"Every package revision shall continue to include root-level status, entry, and next-action docs so a human can catch up quickly.",UDQ-GOV-SPEC-006 r1; root README set,UDQ-REQ-GOV-004; UDQ-REQ-REL-001
UDQ-DEC-007,First code sprint must create traceability and proof scaffolding,CLOSED,entry_gate,UDQ-REQ-AUD-001; UDQ-REQ-QUAL-001; UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001,"The first code sprint is not allowed to be feature-only; it must attach to requirement IDs, invariant hooks, and proof-bundle scaffolding.",docs/handbook/NEXT_ACTIONS.md; UDQ-QUAL-SPEC-002 r2,UDQ-REQ-AUD-001; UDQ-REQ-QUAL-001; UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001
UDQ-DEC-008,Implementation-facing UI package uses ui naming,CLOSED,architecture,UDQ-REQ-UI-001; UDQ-REQ-UI-003; UDQ-REQ-UI-004; UDQ-REQ-UI-006,Use src/universaldaq/ui as the implementation-facing package name while retaining frontend/backend authority language at the architectural level where useful.,ADR-0001; UDQ-IMP-MAP-001,UDQ-REQ-UI-001; UDQ-REQ-UI-003; UDQ-REQ-UI-004; UDQ-REQ-UI-006
UDQ-DEC-009,Typed domain model sprint precedes adapter and widget-heavy work,CLOSED,implementation_strategy,UDQ-REQ-ARCH-001; UDQ-REQ-OUT-001; UDQ-REQ-PROF-001; UDQ-REQ-EVT-001,"The next sprint will implement pure typed models and convert placeholder behavior tests before adapter, remote, or heavy widget work begins.",ADR-0002; UDQ-IMP-GUIDE-001,UDQ-REQ-ARCH-001; UDQ-REQ-OUT-001; UDQ-REQ-PROF-001; UDQ-REQ-EVT-001
UDQ-DEC-010,Reserved packages remain guarded until scope expands,CLOSED,governance_rule,UDQ-REQ-IMPL-001,Deferred packages remain present as reserved directories and must not gain active implementation files during the next sprint.,ADR-0003; tests/meta/test_meta_reserved_package_guardrails.py,UDQ-REQ-IMPL-001
UDQ-DEC-011,One local gate and one CI gate are canonical,CLOSED,process_rule,UDQ-REQ-AUD-001; UDQ-REQ-REL-001; UDQ-REQ-IMPL-001,The preferred repo validation flow is the stable local gate mirrored by CI running in strict mode.,ADR-0004; .github/workflows/ci.yml; tools/dev/run_local_gate.py,UDQ-REQ-AUD-001; UDQ-REQ-REL-001; UDQ-REQ-IMPL-001
UDQ-DEC-012,Sprint 1 changes must open with a documentation impact map,CLOSED,process_rule,UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001; UDQ-REQ-QUAL-001,"Any bounded Sprint 1 change must declare its documentation impact, governing sources, and reconciliation outputs before it can be considered complete.",UDQ-GOV-SOP-001 r2; UDQ-GOV-TPL-001 r0; CONTRIBUTING.md; .github/PULL_REQUEST_TEMPLATE/typed_domain_model_sprint.md,UDQ-REQ-GOV-001; UDQ-REQ-IMPL-001; UDQ-REQ-QUAL-001
