source_document_id,edge_type,target_document_id,source_path
UDQ-ARCH-NAR-001,depends_on,UDQ-GOV-STD-001,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-001,depends_on,UDQ-UI-ARCH-001,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-001,depends_on,UDQ-UI-MOD-001,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-001,depends_on,UDQ-UI-NAR-001,docs/active/UDQ-ARCH-NAR-001__System_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-002,depends_on,UDQ-ARCH-NAR-001,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-002,depends_on,UDQ-GOV-STD-001,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-002,depends_on,UDQ-UI-ARCH-001,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-002,depends_on,UDQ-UI-MOD-001,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md
UDQ-ARCH-NAR-002,depends_on,UDQ-UI-NAR-001,docs/active/UDQ-ARCH-NAR-002__Platform_Controls_Narrative__r3__WIP.md
UDQ-AUD-CHK-001,depends_on,UDQ-AUD-SPEC-001,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md
UDQ-AUD-CHK-001,depends_on,UDQ-AUD-SPEC-002,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md
UDQ-AUD-CHK-001,depends_on,UDQ-GOV-LOG-001,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md
UDQ-AUD-CHK-001,depends_on,UDQ-QUAL-SPEC-002,docs/active/UDQ-AUD-CHK-001__Local_VSCode_Review_Checklist__r2__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-GOV-STD-001,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-GOV-STD-002,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-GOV-STD-003,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-GOV-REG-001,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-GOV-REG-002,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-001,depends_on,UDQ-REL-SPEC-001,docs/active/UDQ-AUD-SPEC-001__Package_Audit_Specification__r5__WIP.md
UDQ-AUD-SPEC-002,depends_on,UDQ-GOV-STD-001,docs/active/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md
UDQ-AUD-SPEC-002,depends_on,UDQ-GOV-SPEC-002,docs/active/UDQ-AUD-SPEC-002__Placeholder_and_Anti_Pattern_Scan_Policy__r2__WIP.md
