requirement_id,statement,primary_sources,downstream_specs,verification_expectation,evidence_expectation,implementation_entry_status,contradiction_status,duplication_status,first_implementation_slice,semantic_closure_status,execution_contract_status,worked_example_status,invariant_status,decision_status,intended_module_area,semantic_tags,scaffold_status,linked_test_ids,snapshot_status
UDQ-REQ-ARCH-001,"The backend shall remain the authoritative source of runtime truth, command arbitration, and applied state publication.","UDQ-ARCH-NAR-002, UDQ-OUT-SPEC-001","UDQ-SEC-SPEC-001, UDQ-REM-SPEC-001","architecture review, runtime trace, command ownership test","published state trace, command log, proof bundle",READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/app + src/universaldaq/common,first_slice | authority | state_publication,IMPLEMENTED,UDQ-TST-SMK-004 | UDQ-TST-CON-001 | UDQ-TST-SCN-001 | UDQ-TST-SCN-002,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-ARCH-002,The UI shall never silently imply authority that it does not possess.,"UDQ-UI-NAR-001, UDQ-UI-MOD-001","UDQ-UI-SPEC-002, UDQ-UI-SPEC-005","UI review, ownership-state walkthrough","screenshots, interaction trace",READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/app + src/universaldaq/common,first_slice | authority | state_publication,IMPLEMENTED,UDQ-TST-CON-002 | UDQ-TST-CON-005 | UDQ-TST-SCN-003,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-SIG-001,Every signal shall have stable identity independent of user-facing display name.,UDQ-SIG-SPEC-001,"UDQ-DEV-SPEC-001, UDQ-PROF-SPEC-001","rename safety test, schema inspection","signal registry export, migration test",READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/signals,first_slice | signal_identity | signal_quality,IMPLEMENTED,,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-SIG-002,Derived signals shall be dependency-tracked and cycle-checked before activation.,"UDQ-SIG-SPEC-001, UDQ-LOG-SPEC-001",UDQ-UI-SPEC-003,"validation test, negative cycle case","validation report, dependency graph export",READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/signals,first_slice | signal_identity | signal_quality,IMPLEMENTED,,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-OUT-001,"Output actions shall be requests subject to arbitration, permissives, interlocks, and safe-state policy rather than direct uncontrolled writes.",UDQ-OUT-SPEC-001,"UDQ-SEC-SPEC-001, UDQ-REM-SPEC-001","arbitration test, interlock block test",requested/applied/observed trace,READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/outputs + src/universaldaq/common,command | arbitration | apply,IMPLEMENTED,UDQ-TST-CON-001 | UDQ-TST-SCN-001 | UDQ-TST-INV-001,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-OUT-002,"Requested, applied, and observed output states shall be distinguishable in runtime behavior and evidence surfaces.","UDQ-OUT-SPEC-001, UDQ-HIS-SPEC-001","UDQ-UI-SPEC-004, UDQ-EXP-SPEC-001","historian review, UI overlay test","event markers, historian export",READY_FOR_IMPLEMENTATION,CLOSED,CLASSIFIED,first-bounded-code-sprint,CLOSED,DEFINED,COVERED,DEFINED,CLOSED,src/universaldaq/outputs + src/universaldaq/common,command | arbitration | apply,IMPLEMENTED,UDQ-TST-CON-001 | UDQ-TST-SCN-002 | UDQ-TST-INV-001,INCLUDED_IN_FIRST_SLICE_PACK
UDQ-REQ-RULE-001,Rules shall be represented by one canonical model with equivalent visual and DSL editing views.,UDQ-LOG-SPEC-001,UDQ-UI-SPEC-003,"roundtrip test, AST equivalence test",proof bundle with before/after representations,DEFERRED,CLOSED,CLASSIFIED,later-slice,CLOSED,PLANNED,PLANNED,PLANNED,DEFERRED,src/universaldaq/rules,rules,NOT_APPLICABLE,,NOT_INCLUDED
UDQ-REQ-RULE-002,"Rule evaluation shall be explainable, including quality-blocked and indeterminate cases.","UDQ-LOG-SPEC-001, UDQ-DIAG-SPEC-001","UDQ-UI-SPEC-003, UDQ-UI-SPEC-004","truth-trace review, blocked-case test","live trace screenshots, diagnostics export",DEFERRED,CLOSED,CLASSIFIED,later-slice,CLOSED,PLANNED,PLANNED,PLANNED,DEFERRED,src/universaldaq/rules,rules,NOT_APPLICABLE,,NOT_INCLUDED
UDQ-REQ-MOD-001,"Modbus integration shall support TCP and RTU client modes with explicit decode, ordering, scaling, timeout, and health semantics.",UDQ-PROT-SPEC-001,"UDQ-DEV-SPEC-001, UDQ-DIAG-SPEC-001","protocol simulation, decode tests","device config export, comms diagnostics",SEMANTICALLY_CLOSED,CLOSED,CLASSIFIED,later-slice,CLOSED,PLANNED,PLANNED,PLANNED,CLOSED,src/universaldaq/adapters,,NOT_APPLICABLE,,NOT_INCLUDED
UDQ-REQ-MOD-002,Modbus-backed writable points shall participate in the same arbitration and authorization model as other outputs.,"UDQ-PROT-SPEC-001, UDQ-OUT-SPEC-001","UDQ-SEC-SPEC-001, UDQ-REM-SPEC-001","write authorization test, arbitration conflict test","command log, permission trace",SEMANTICALLY_CLOSED,CLOSED,CLASSIFIED,later-slice,CLOSED,PLANNED,PLANNED,PLANNED,CLOSED,src/universaldaq/adapters,,NOT_APPLICABLE,,NOT_INCLUDED
