requirement_id,subsystem,semantic_closure_status,contradiction_status,duplication_status,execution_contract_status,invariant_status,worked_example_status,decision_status,implementation_entry_status,intended_module_area,first_code_slice,proof_expectation,test_stub_status,snapshot_status,local_guardrail_status,coverage_status,implementation_progress_note,last_aligned_package,last_aligned_date
UDQ-REQ-ARCH-001,ARCH,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/common,visible-operator-shell-and-demo-embodiment,"launchable shell foundation, persistent info bar summary, demo runtime inventory",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"Visible shell embodiment now includes a launchable Qt main window, persistent top information bar, standard menus, and dock-based workspace frame.",UDQ-PKG-20260328-VISIBLE-OPERATOR-SHELL-AND-DEMO-EMBODIMENT-R01,2026-03-28
UDQ-REQ-ARCH-002,ARCH,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/common,live-runtime-integration-and-safe-control-posture-foundations,"authority summary, top information bar, demo/write posture labels",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"The visible shell now distinguishes runtime mode from control posture, exposes live versus demo truth in the persistent information bar, and carries explicit guarded-write decisions through diagnostics.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-SIG-001,SIG,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/signals,first-bounded-code-sprint,"signal-lens inventory, stable signal identity under hardware/raw/logical/derived views",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"Curated signal lenses now flow into a visible add-trace path so hardware, raw, logical, derived, control, and saved sets can be plotted without losing canonical signal identity.",UDQ-PKG-20260328-VISIBLE-OPERATOR-SHELL-AND-DEMO-EMBODIMENT-R01,2026-03-28
UDQ-REQ-SIG-002,SIG,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/signals,first-bounded-code-sprint,"validation report, dependency graph export",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-OUT-001,OUT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/outputs + src/universaldaq/common,live-runtime-integration-and-safe-control-posture-foundations,"demo-only write posture, pseudo output scenario, authority-safe sink summary",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"The shell now classifies write targets, blocks live-capable writes in View Only posture, and proves one guarded action path while keeping demo outputs visibly simulated.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-OUT-002,OUT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/outputs + src/universaldaq/common,first-bounded-code-sprint,"event markers, historian export",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-RULE-001,RULE,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/rules,later-slice,proof bundle with before/after representations,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,DEFERRED,,,
UDQ-REQ-RULE-002,RULE,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/rules,later-slice,"live trace screenshots, diagnostics export",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,DEFERRED,,,
UDQ-REQ-MOD-001,MOD,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"device config export, comms diagnostics",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-MOD-002,MOD,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"command log, permission trace",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-SEQ-001,SEQ,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/sequences,later-slice,"sequence event history, export bundle",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,DEFERRED,,,
